username,rating,comment,date;;;;
"Arham Hisyam,1,""when i bought a milk for my friend, it just taking a long time to waiting, i started to chat the CS, it's so taking so long to waiting the answer, and then i dunno for the shipment, and then, one i need for the respond today and forever, FIX THE SYSTEM RIGHT NOW!, I'll wait for it"",2025-12-29 19:30:16";;;;
Angelica S,5,das beste,2025-12-29 19:28:53;;;;
"Najwa Yusuff,1,""I'm so done with these apps, ads all the time, every little thing opens an ad, all the apps are filled with Shopee ads, can they stop appearing on every other app?"",2025-12-29 19:22:09";;;;
Puji Budiman,5,aplikasi yang terbaik di kelasnya,2025-12-29 19:20:33;;;;
Fanni Indrawati Joga,5,tepat waktu,2025-12-29 19:15:27;;;;
Budi Setia Putra,5,good apps,2025-12-29 19:09:33;;;;
Kei Channel,1,admin aja terus makin gede,2025-12-29 18:28:05;;;;
danny,5,sippp,2025-12-29 18:19:11;;;;
"Andrian Chaidir,3,""On tablet, the landscape view looks unusable, please make and support the landscape view for the tablet"",2025-12-29 18:10:37";;;;
wigiefebrian 171,5,good cust handling.,2025-12-29 18:09:01;;;;
"Alfiyah Rahmadani,2,""sekarang kalo retur barang ribet bgt ya trus banyak toko yg tipu"""". kemarin aku beli baju yg dikirim malah maskara mana maskara ilegal pula makin males belanja di sini mending di sebelah aja"",2025-12-29 17:50:33";;;;
qc endorphins,1,ini sfood lagi bug kah? biaya aplikasi berubah ubah meski di resto yang sama. tolong dev segera di resolve,2025-12-29 17:31:32;;;;
"rochmatulloh,1,""penanganan pengembalian lambat, tim mediasi kocak disuru nunggu aja terus, hasil nya tidak ada, sudah lewat estimasi masih saja belum selesai selesai KOCAKK"",2025-12-29 16:11:25";;;;
qi,1,stop spam call spaylater bruhh??,2025-12-29 16:02:31;;;;
"Gara,1,""Sumpah, sumpek banget liatnya. ads nya kek ranjau, di sana sini nongol. nutupin ui nya lagi. maksa banget ads nya."",2025-12-29 15:29:19";;;;
Donny Saputra,4,fitur baru buka app tiba tiba masuk ke laman live hapus aja dong. kadang ganggu,2025-12-29 15:21:32;;;;
"Luthfy Rachman,1,""mau checkout aja loading nya lama, layar nya ga muncul muncul"",2025-12-29 14:17:06";;;;
Iqbal Fuady,5,Aplikasi keren,2025-12-29 13:43:50;;;;
Tugiono,5,belanja hemat dan praktis.,2025-12-29 13:41:09;;;;
Irma Situmorang,5,seling product oke,2025-12-29 12:37:52;;;;
"Ines,1,""dikit2 ngelag mulu, belanja jadi terganggu. 😮‍💨😮‍💨🤲"",2025-12-29 11:47:16";;;;
Bayu Gondokusumo,5,Very good online shopping app with good prices and nice promotions. Recommended.,2025-12-29 11:29:13;;;;
Cedric Lim,1,shopee pop ups were the best,2025-12-29 11:06:25;;;;
"Malikus Syahri,1,""terlalu ramai konten video, bintang 1 aja deh, videonya makin ga jelas, banyak yang asal comot, barang yang dijual beda dengan yang diiklankan di video. shopee harus lebih selektif menayangkan konten"",2025-12-29 10:50:58";;;;
Main Game,5,tidak perlu liat marketplace lain,2025-12-29 10:24:28;;;;
